Brand Name,Brand Image Name,Category,Product Name,Description,Price,Product Image Name,Product Code
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Universal Cleaner 750ml,"A ready to use general purpose cleaner of grime and grease from most hard surfaces, including floors and walls.

Spray onto surface, leave to react for a few seconds and then wipe off the dirt with a clean damp cloth, rubbing stubborn marks. Rinse the wiping cloth frequently in clean water. When dry, surfaces may be polished with a dry cloth.",2.38,Greyland Universal Cleaner 750ml,GL36
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Neutral Cleaner 5L,"An effective neutral cleaner for most types a floor and hard surfaces.

Dilute 1 part with 50 parts of water (100ml to 5 litres). Apply to surface with mop or cloth, leave to react for a few seconds. Rub stubborn marks and then rinse with clean water and allow to air dry.  Change the rinsing water frequently to avoid redisposition. When dry, surfaces may be polished with a dry cloth.",11.62,Greyland Neutral Cleaner 5L,GL52
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Heavy Duty Degreasers 5L,"A powerful cleaner of grime and grease from most hard surfaces, including floors and walls.

Dilute approx. 1 part with 10 parts of water (500ml to 5 litres) for heavy duty cleaning of floors etc. Apply by mop or machine, scrub and then rinse thoroughly with clean water. Dilute approx. 1 part with 150 parts of water (35ml to 5 litres) for general purpose cleaning of hard surfaces. Spray or wipe diluted cleaner onto surface, leave to react for a few seconds, and then wipe the dirt off with a clean damp cloth which should be frequently rinse in clean water. When dry, surfaces may be polished with a dry cloth.",12.84,Greyland Heavy Duty Degreasers 5L ,GL33
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Lemon Cleanser 5L,"An easy to use hard surface cleaner imparting a zesty lemon fragrance. Ideal for cleaning floors, walls, kitchen equipment etc.

For heavy impacted oil and grease: dilute 1 part with 10 parts of cold water (500ml to 5 litres). For all stone floors: dilute 1 part with 20 parts of water (250ml to 5 litres). For general cleaning of floors, walls, equipment etc: dilute 1 part with 50 parts of water (100ml to 5 litres). Apply to the surface with spray, mop or cloth, leave to react for a few seconds and then wipe off the dirt with the mop/cloth, rubbing stubborn marks.  Rinse the mop/cloth frequently in clean water.",10.27,Greyland Lemon Cleanser 5L ,GL06
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Lemon Gel,"Designed for use on all types of floors particularly wood and linoleum where the natural oils help feed the floor and give the product a degree of buffability, this can be built up over a period of time to a natural slip resistan shine.  Lemon Gel has disinfectant properties and leaves a natural fresh zesty fragrance.

Mopping - Dilute 1 to 80 with water then mop floor with solution. Once dry, the floor should be machine buffed. 
For other surfaces dilute 1 to 50 with water, mop then wipe clean. Spraying - Dilute 1 to 20 with water, spray onto surface and machine buff.",2.48,Greyland Lemon Gel 1L,GL77
Greyland Chemical,Greyland Chemical Logo,Hard Surface Cleaners,Greyland Hard Surface Perfumed Sanitiser 5L,"A pleasantly perfumed concentrated cleaner suitable for use on many surfaces, effective on most commonly found bacteria.

Dilute 1 part with 30 parts of water. Apply to surface with mop, leave to react for a few minutes then remove the excess and allow to air dry. Perfumed Sanitiser may also be applied by cloth or spray.",11.62,Greyland Hard Surface Perfumed Sanitiser 5L ,GL34
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Floor Maintainer 5L,"A perfumed neutral product to clean and protect emulsion polished floors, including sealed wood and cork. Also for use as a maintenance product for floors previously
coated with a metallised floor polish.

For damp mopping dilute 1:20 with water. Mop floor with this solution, rinse the dirt into a bucket of clean water and allow to dry. Then machine buff to restore the shine. For spray buffing dilute 1:8 with water. Spray a small amount onto the floor and pass the machine over this area, three or four passes should clean, dry and shine the floor. Do not over apply and do not attempt to spray buff very dirty floors, these should be mopped or scrubbed with a mild solvent-based detergent prior to application of floor maintainer.",12.35,Greyland Floor Maintainer 5L ,GL05
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Floor Stripper 5L,"Effectively strips emulsion polishes from most floor surfaces, including sealed wood or cork.

Dilute approximately 1 to 10 with water to achieve effective results. It may be spread with a mop or machine equipped with a tank. Leave in contact with the polish for between 5 – 15 minutes before machine scrubbing with a black stripping pad, never allow the stripper to dry as this will make polish harder to remove, divide the floor into areas where the whole process may be completed before the solution dries. Always rinse well and allow the floor to dry thoroughly before re-applying polish. A small amount of a mild acid such as vinegar may be added to the final rinse to neutralise the floor.",16.07,Greyland Floor Stripper 5L ,GL21
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland High Solid Floor Polish 5L,"A high 20% solids, dry-bright metallised emulsion polish for use in medium to high wear conditions, good resistance to scuffing and black heel marking makes it an all round performer which allies durability with economy. High gloss and good detergent resistance gives long life with easy maintenance.

Ensure floor has been properly swept and cleaned before application, making sure that any oil, grease and old polish has been removed. Rinse well with water and allow to dry thoroughly. Mop or apply a thin film of product onto floor. Allow 30 minutes to dry. Apply a second thin coat and allow to dry.",21.17,Greyland High Solid Floor Polish 5L ,GL19
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Extra Solid Floor Poilsh,"An extra high 24% solids, dry-bright metallised emulsion polish that is particularly suitable for use on high wear areas where it will produce a long lasting durable shine with an excellent response to spray buffing. At this solids level all the properties of the polymer will be obtained in the least number of coats and its prolonged life will extend the period between expensive stripping and re-polishing operations.

Ensure floor has been properly swept and cleaned before application, making sure that any oil, grease and old polish has been removed. Rinse well with water and allow to dry thoroughly. Mop or apply a thin film of product onto floor. Allow 30 minutes to dry. Apply a second thin coat and allow to dry.",23.12,Greyland Extra Solid Floor Poilsh 5L ,GL19(EXTRA)
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Pine Floor Gel 5L,"Designed for use on all types of floors particularly wood and linoleum where the naturals oils help feed the floor and give the product a degree of buffability, this can be built up over a period of time to a natural slip resistant shine. The natural pine oils in Pine Floor Gel impart a fresh, pine fragrance.

Dilute 1:80 with water for floor mopping, Once dry, the floor should be machine buffed. Dilute 1:20 for spray buffing. Pine Gel can also be used on most hard surfaces i.e. walls, ceilings, toilets and other clean areas. Dilute 1:50 with water for general cleaning.",10.57,Greyland Pine Floor Gel 5L ,GL40
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Rinse Free Stripper 5L,"Strips emulsion floor polishes without the aid of a scrubbing machine, and can be used in areas where machines are not accessible such as stairs.

Dilute 1:10 with water, spread onto the floor with a mop and leave for up to twenty minutes, again keep damp do not allow to dry out. The resultant slurry can be picked up with a mop, and then the floor should be thoroughly rinsed and allowed to dry.",9.28,Greyland Rinse Free Stripper 5L ,GL51
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Extraction Carpet Cleaner 5L,"An effective cleaner of carpets and upholstery, this low foaming product is suitable for use with either hot or cold water machines.

Test a small area for colour fastness prior to use. Vacuum carpet or fabric before commencing cleaning operation. Dilute approximately 1 to 50 with water and add to carpet cleaning machine. Clean carpet or fabric as per machine manufacturer’s guidelines. Brush carpet or fabric when finished and leave to dry for at least six or seven hours. Vacuum carpet or fabric again when dry.",11.17,Greyland Extraction Carpet Cleaner 5L ,GL18
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Wet Look Floor Polish 5L,"A high solids, dry-bright metallised emulsion polish designed to provide a high gloss, durable finish to most hard floor surfaces, including sealed cork and sealed wooden floors. Made for use with ultra high speed buffing machines.

Ensure floor has been properly swept and cleaned before application, making sure that any oil, grease and old polish has been removed. Rinse well with water and allow to dry thoroughly. Mop or apply a thin film of product onto floor. Allow 30 minutes to dry. Apply a second thin coat and allow to dry.",12.82,Greyland Wet Look Floor Polish 5L,GL62
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Carpet Pre- Spotter 750ml,"A pleasantly fragranced ready to use carpet and upholstery spot cleaner. May be used as a stain remover or as a pre-spotter in conjunction with Greyland Dry Foam Carpet Shampoo or Extraction Carpet Cleaner. This is a ready to use product, no dilution is required.

Test a small area for colour fastness prior to use. Spray onto stain and leave for a few minutes to react then gently rub with a soft cloth or brush, work towards the centre of the stain, finally rub with a damp cloth to pick up residue and allow it to dry thoroughly. Vacuum to complete the process.",19.37,Greyland Carpet & upholstery Pre- Spotter 750ml ,GL17
Greyland Chemical,Greyland Chemical Logo,Floorcare,Greyland Neutral Scrubber Drier Detergent 5L,"A low foam detergent that has efficient soil suspending properties and is ideal for the cleaning of large industrial floors. Suitable for all Scrubber Drier Machines, and is ideal for light to medium cleaning of sensitive surfaces.

For heavy Soiling: Dilute 1 to 20 with water. For light Soiling and General Cleaning: Dilute 1 to 150 with water.

Always use in conjunction with machine manufacturer’s instructions
",12.84,Greyland Neutral Scrubber Drier Detergent 5L ,GL66
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Telephone Sanitizer RTU 750ml,"A hard surface cleaner designed for the cleaning and disinfection of telephone handsets.

To ensure a clean, fresh hygienic result, spray onto a lint free cloth, wipe the telephone surface clean and allow to dry. Do not rinse. This method may be used to sanitise other hard surfaces.",2.73,Greyland Telephone Sanitizer RTU 750ml ,GL13
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Odour Neutraliser RTU 750ml,"A ready to use, fast acting neutraliser with a zesty lemon fragrance. Suitable for use against urine, tobacco smoke, food smells, pet odours and vomit.

Can be used on most surfaces and is suitable for use against urine, tobacco smoke, food smells, pet odours, vomit etc. Kills most common forms of bacteria. Remove gross contamination before treatment, thoroughly wet the area with product and allow to dry onto fabric, wiping other surfaces  dry. Blot fresh urine spills with paper or towel, thoroughly wet the area with product, remove excess liquid and allow to dry. Treat old spills first with hot water extraction machine, then wet the area with neutraliser, allow a short period to react and  extract the residue. Always test a small area first to ensure no damage may occur.",4.2,Greyland Odour Neutraliser RTU 750ml ,GL16
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Furniture Polish,"A wax free polish that effectively cleans and shines most hard surfaces.

Spray onto a clean soft cloth and wipe onto the surface, polish off to a high gloss finish. Take care not to overspray onto floors as this can result in causing a dangerous slip hazard.",4.24,Greyland Furniture Polish 750ml ,GL41
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Cranberry Air Freshner,"Air freshening formulation with a pleasant cranberry perfume.

Spray the product towards each corner of the room to freshen and condition the atmosphere. Spray around the entrance area, including matting, to create a pleasant environment.",2.95,Greyland Cranberry Air Freshner 750ml,GL58(750ML)
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Glass Cleaner 750ml,"Effectively cleans and shines glass surfaces such as windows, mirrors, stainless steel etc.

Spray onto a clean soft cloth, glass wipers or polishing paper and wipe onto the surface. Do not apply to hot surfaces. Also suitable for plastics, chrome, ceramics, laminates and stainless steel where a streak free finish is required.",2.82,Greyland Glass Cleaner 750ml ,GL02
Greyland Chemical,Greyland Chemical Logo,Housekeeping (Chemical),Greyland Cream Cleaner,"A non-scratch mild cream, safe to use on any hard washable surface.",2.08,Greyland Cream Cleaner 500ML,GL42
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Auto Rinse Aid,"An effective additive to assist the final drying process in cabinet dishwashing and glasswashing to prevent spots and hazing. Will produce a sparkling finish.

Dispense via the machine’s automatic dosing system, then adjust the concentration until effective results and being achieved with the minimum amount of product. Auto Rinse Aid will ensure a perfect finish on crockery, cutlery, utensils and glassware. A temperature of at least 60ºC should be achieved for the rinse aid to work effectively.

Auto Rinse Aid is the perfect product to combine with Machine Dishwash or Machine Glasswash.",11.17,Greyland Auto Rinse Aid,GL37
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Oven Cleaner RTU 750ml,"A ready to use spray that effectively cleans grease and charred food from ovens and grills.

Ensure that the oven is switched off. Apply neat product onto all surfaces of a warm oven. Scrub heavy, burnt on deposits with a brush/scouring pad if required. Leave product on to react for 15 minutes, scrub, then rinse off thoroughly.",2.65,Greyland Oven Cleaner RTU 750ml,GL01
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Machine Dishwash Detergent,"Machine Dishwash is an effective detergent for use in cabinet dishwashing machines. Easily removes stubborn dirt and soling in both hard and soft water areas.

Dispense via the machine’s automatic dosing system then adjust the concentration until effective results are being achieved, using the minimum amount of product. Suitable for washing crockery, cutlery and stainless steel utensils and may be used to good effect in tray washing machines.",11.18,Greyland Machine Dishwash Detergent 5L ,GL38
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Machine Glasswash 5L,"Concentrated Machine Glasswash is a powerful detergent for use in cabinet glasswashing machines to remove the most stubborn stains and soil.

Dispense the product via the machine’s automatic dosing system then adjust the concentration until effective results are being achieved with the minimum amount of product.

Best result will be achieved when used in conjunction with Greyland Rinse Aid or Auto Rinse Aid. Concentrated Machine Glasswash will ensure a perfect finish on glasses, tumblers and glassware in both hard and soft water area.",10.56,Greyland Machine Glasswash 5L,GL59
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Descaling Liquid 5L,"A powerful, acid based detergent designed to remove limescale and water staining from automatic catering equipment, such as maching dish and glasswashers.

For use against heavy scale: dilute 1 part product with up to 5 parts water, soak or brush machine parts to be descaled with solution. Agitate if necessary and thoroughly rinse 2 or 3 times with clean water. Depending on the level of scale, dilute up to 1 part product to 20 parts water. Use a dilution rate of up to 1 part product to 80 parts water to remove water staining. Always test the solution on a small are to check compatibility.",12.66,Greyland Descaling Liquid 5L ,GL70
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Kitchen Degreaser RTU 750mls,"A powerful multi-purpose RTU cleaner degreaser. This food safe, odourless degreaser can be used on all hard surfaces especially in kitchens and food preparation areas.

Spray neat product onto the surface, leave to react for a few seconds then wipe off the dirt with a clean, damp cloth, rinse the cloth frequently in clean water.",2.99,Greyland Kitchen Degreaser RTU 750mls,GL55
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Spray & Wipe Sanitizer 750ml,"A foaming ready to use cleaner suitable for use on most surfaces. It will kill most commonly found bacteria including MRSA and is ideal for use in kitchens, food preparation areas and hospitals. Complies with BSEN1276.

Spray neat product onto the surface, leave in contact for up to 30 seconds, then wipe with a clean, damp cloth. Rinse the cloth frequently in clean water.",2.94,Greyland Spray & Wipe Sanitizer 750ml ,GL04
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland concentrated Neutral Detergeant 5L,"An odourless concentrated neutral detergent, ideal for the economic cleaning of dishes and most hard surfaces.

For dishwashing: dilute in a bowl 1 part with upto 1000 parts of warm water depending on the amount of grease and soil to be removed. Place items in the bowl, allow to soak, then wipe with a cloth, sponge or brush. Drip dry and polish with a soft cloth.",8.22,Greyland concentrated Neutral Detergeant 5L,GL64
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland SteriTann 5L,"A chlorinated sanitiser & tannin remover with a gentle action, removes stubborn stains effectively and economically. Safe to use on all crockery.

For use as a steriliser, dilute 1 part product with 50 parts water to sanitise hard surfaces in the kitchen/bathroom etc. Allow a contact time of 15 minutes, rinsing is not necessary. For use as a tannin remover, dilute 1 part product with up to 10 parts water to remove tannin stains. Soak items in solution for up to 30 minutes and rinse thoroughly with clean water.",12.61,Greyland SteriTann 5L ,GL09
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Foodsafe Bacterial Cleaner 5L,"An odourless food safe cleaner that removes build-ups of grease and grime from hard surfaces. It contains a bactericide and is effective against most common forms of bacteria, making it ideal for use in kitchens and food preparation areas.

For heavy duty cleaning: dilute 1 part product with approximately 10 parts of water and apply by trigger spray, cloth or mop. Allow five minutes contact time and rinse away with a damp cloth. For general purpose cleaning: dilute 1 part product with up to 50 parts of water. Spray or wipe solution onto the surface, allow few seconds to react and wipe clean with a damp cloth. Food Safe Bactericidal Cleaner may be used to clean a variety of kitchen surfaces including worktops, cupboard fronts, external equipment surfaces and floors.",13.01,Greyland Foodsafe Bacterial Cleaner 5L,GL08
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Neutral Detergent 5L (Wash Up),"An odourless neutral detergent, ideal for the economic cleaning of dishes and most hard surfaces.

For dishwashing: dilute in a bowl 1 part product with up to 500 parts warm water, depending on the amount of grease and soil to be removed. Place items in the bowl, allow to soak, then wipe with a cloth, sponge or brush. Drip dry and polish with a soft cloth or tea towel. For cleaning hard surfaces: dilute 1 part product with up to 150 parts of warm water, wipe surface clean with a cloth and allow to air dry.",4.32,Greyland Neutral Detergent 5L (Wash Up),GL25
Greyland Chemical,Greyland Chemical Logo,Catering & Kitchen,Greyland Foodsafe Sanitizer 5L,"An odourless food safe cleaner suitable for use on most hard surfaces. It is effective against most common forms of bacteria including MRSA, making it ideal for use in kitchens, food preparation areas, hospitals and nursing homes. Complies with BSEN1276.

For general purpose cleaning, dilute 1 part product with 30 parts of water. Spray or wipe solution onto the surface, allow few seconds to react and wipe clean with a damp cloth, no need to rinse. Food Safe Sanitiser may be used to clean and disinfect a variety of hard surfaces including tables, worktops, sinks, draining boards, cupboard fronts, external equipment surfaces, walls and floors. Always clean vertical surfaces from the bottom up to avoid unsightly streaking.",15.34,Greyland Foodsafe Sanitizer 5L ,GL12
Greyland Chemical,Greyland Chemical Logo,Handcare,Greyland Pink Soap,"An economical pearlised hand soap suitable for all environments. Ideal for use in most bulk fill dispensers.

Firstly wet hands, then apply soap directly to skin and work into a rich lather. Wash for at least 20 seconds, use a clean nailbrush to clean under fingernails if necessary, rinse and dry thoroughly.",8.64,Greyland Pink Soap 5L ,GL30
Greyland Chemical,Greyland Chemical Logo,Handcare,Greyland Ivory Soap,"A luxury pearlised handsoap suitable for all environments. Ideal for use in most bulk fill dispensers.

Firstly wet hands, then apply soap directly to skin and work into a rich lather. Wash for at least 20 seconds, use a clean nailbrush to clean under fingernails if necessary, rinse and dry thoroughly.",NO STOCK,Greyland Ivory Soap,
Greyland Chemical,Greyland Chemical Logo,Handcare,Greyland Luxury Foaming Soap 5L,"A luxury instant foaming soap. Only a small amount is required to provide effective skin cleansing. No water required to create a lather. Highly economical.

Apply small amount of soap direct to hands, rub into a lather no water required. Then rinse in water and dry.",9.41,"Greyland Luxury Foaming Soap 5L 
",GL69
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Deodourising Fluid 5L,"Will neutralise unpleasant odours and is ideal for use in areas such as rubbish bins, waste disposal chutes, waste tips and sewage farms.

Dilute approximately 1 part in 40 parts of water and disperse by low pressure spray or watering can onto relevant area to neutralise foul odours.",20.88,Greyland Deodourising Fluid 5L,GL22
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland DELTA DP200 1L (Chewing Gum Remover),"A natural based cleaner for safely and easily removing chewing gum and sticky labels. Safe to use on fabrics, carpets, painted surfaces, wood and plastic laminates, inside or outside.

Do not dilute. Apply by spray to affected areas. On carpets, apply sparingly and agitate gum using a plastic scraper or nylon scouring pad. On fabric seating, spray and agitate with a nylon scouring pad until all traces of gum are removed. On general flooring surfaces; spray gum, remove bulk with a sharp scraper, spray any remaining residues and agitate with a nylon scouring pad. Wash floors down after cleaning with a detergent solution. To remove sticky labels; spray product and agitate with a nylon scouring pad, wipe clean using a cloth moistened with product.",12.41,Greyland DELTA DP200 1L (Chewing Gum Remover) ,GL54
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Delta Activator 1L Graffitti Remover,"A multi-purpose graffiti remover that is suitable for removing graffiti from non-porous, decorative, laminated plastic or painted surfaces without damaging the underlying finish.

Wipe or spray product onto the graffiti and allow to act. Depending on surface, scrub area with a dry cloth, natural bristle scrubbing brush or nylon pad and rinse with water or wipe down with a damp cloth. Repeat if necessary.",12.41,Greyland Delta Activator 1L Graffitti Remover ,GL53
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Stainless Steel,"A low odour cleaner polish designed for use on stainless steel and bright metals. Low odour and non-tainting cleaner that creates a high gloss finish.

Remove gross contamination if necessary. Spray lightly onto lint free cloth then wipe immediately.",8.64,Greyland Stainless Steel 750ML ,GL03
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Concrete & Masonary 5L,"An effective acidic cleaner of concrete, brick and masonry surfaces.

Wear acid resistant gloves, goggles and suitable face and skin protection. Before use, always test an inconspicuous area for suitability. Do not use on acid sensitive surfaces.  Dilute 1 part with 4 parts water and brush this solution onto the surface, leave in contact for at least 5 minutes, do not allow to dry out. Agitate surface to remove stubborn marks, rinse thoroughly by spraying with clean water and give a final rinse with a mild alkaline solution. Rinse applicators in water and dispose of after use. Not to be used on stainless steel or vitreous enamel.",15.89,Greyland Concrete & Masonary 5L,GL56
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Aluminium Cleaner 5L,"For the safe removal of dirt and grease from aluminium surfaces.

Wear protective gloves. Dilute 1 part with 5 parts of water for cleaning anodised aluminium, wipe solution onto the surface and brush vigorously. Wipe dry and then rinse with a weak alkali solution to neutralise and stop any reaction. Finally rinse thoroughly with water. Always test an inconspicuous area for suitability.",NO STOCK,Greyland Aluminium Cleaner 5L ,GL39
Greyland Chemical,Greyland Chemical Logo,Specialised Chemical Products,Greyland Graffiti Remover 750ml,"A blend of low toxic solvents that will remove a wide range of paints, crayons, pencil and inks from felt tip and ball point pens. Suitable for use on all solvent resistant surfaces.

Wear protective clothing, goggles and gloves. Test a small unobtrusive area by rubbing with a white cloth dampened with product as any damage will be irreversible. Use neat and spray or wipe directly onto surface to be treated and leave for a few minutes to penetrate, agitate with a cloth or, for persistent marks, an abrasive hand pad. Porous surfaces are best treated with a brush to penetrate pores. Do not use in enclosed or confined spaces.",8.76,Greyland Graffiti Remover 750ml ,GL23
